Generation,Timestamp,X-Axis,Y-Axis,Z-Axis,Frequency,
249,"4.167","-0.326","-1.1571","9.8168","200.2273",
250,"4.198","0.0247","-0.7357","9.9964","200.2299",
251,"4.249","-0.2063","-0.7106","9.9078","200.2282",
252,"4.253","-0.3308","-0.7441","9.83","200.2316",
253,"4.304","0.1241","-0.7704","9.8539","200.2121",
254,"4.308","-0.089","-0.7189","9.9868","200.2334",
255,"4.313","-0.4278","-0.6327","9.9365","200.2189",
256,"4.318","-0.4577","-0.5884","9.9317","200.2223",
257,"4.358","-0.5846","-0.5406","9.8587","200.2139",
258,"4.363","-0.2482","-0.6651","9.8479","200.2173",
259,"4.368","-0.2422","-1.1092","10.0407","200.2207",
260,"4.406","0.0834","-0.8973","9.897","200.2088",
261,"4.408","-0.2075","-1.1618","9.9162","200.23",
262,"4.413","-0.174","-1.2133","9.8491","200.2334",
263,"4.417","-0.1501","-0.8757","9.9916","200.219",
264,"4.454","-0.5283","-0.9763","9.9293","200.225",
265,"4.457","-0.2291","-1.1714","9.9317","200.2284",
266,"4.463","-0.0734","-0.8913","9.8898","200.2318",
267,"4.467","0.0906","-0.8087","9.8","200.2174",
268,"4.508","0.1756","-1.4109","9.8695","200.2267",
269,"4.513","-0.0603","-0.9727","9.8743","200.2301",
270,"4.518","-0.6301","-0.6124","9.9437","200.2158",
271,"4.556","-0.3607","-0.92","9.8204","200.204",
272,"4.558","-0.0459","-0.9332","10.1652","200.2251",
273,"4.563","0.4868","-1.2026","9.8204","200.2285",
274,"4.567","0.755","-1.3618","9.8228","200.2319",
275,"4.604","0.5239","-1.3809","10.0311","200.2201",
276,"4.607","-0.514","-0.4161","9.751","200.2235",
277,"4.613","-1.0203","0.0616","9.806","200.2269",
278,"4.617","-0.9629","-0.1623","10.0586","200.2302",
279,"4.654","-0.3368","-0.9284","9.9425","200.2184",
280,"4.657","-0.0579","-1.205","10.0754","200.2218",
281,"4.663","-0.332","-0.8734","9.745","200.2252",
282,"4.667","-0.4517","-0.6698","9.9712","200.2286",
283,"4.702","0.1229","-0.8889","9.7534","200.2134",
284,"4.704","-0.5786","-0.7201","9.897","200.2168",
285,"4.754","-0.0974","-1.096","9.9664","200.2152",
286,"4.757","-0.5247","-0.9141","9.727","200.2186",
287,"4.762","-0.7199","-0.6447","9.8324","200.2219",
288,"4.767","-0.1417","-1.108","10.1005","200.2253",
289,"4.801","-0.4038","-0.9679","9.8036","200.2102",
290,"4.803","0.1301","-1.0757","9.7977","200.2136",
291,"4.853","0.1684","-1.0505","10.0023","200.2296",
292,"4.857","0.0594","-0.8877","9.9198","200.233",
293,"4.863","-0.4625","-0.762","9.6337","200.2187",
294,"4.867","-0.6959","-0.9332","10.0526","200.222",
295,"4.899","-0.6349","-0.7812","9.915","200.2246",
296,"4.902","-0.4984","-0.683","9.8826","200.228",
297,"4.951","-0.4697","-0.8195","9.8838","200.2054",
298,"4.953","-0.1381","-0.926","9.879","200.2263",
299,"5.01","0.2737","-0.4376","9.496","200.2105",
300,"5.012","0.0391","-0.4304","9.7653","200.2314",
301,"5.017","-0.5702","-0.5789","10.1388","200.2172",
302,"5.056","-0.1872","-0.3682","9.5187","200.2055",
303,"5.057","-1.152","-0.6244","10.5351","200.2264",
304,"5.062","-0.8372","-0.4604","9.4864","200.2298",
305,"5.067","0.1193","-1.3247","10.0574","200.2331",
306,"5.104","-0.0986","-0.8781","9.8611","200.2215",
307,"5.107","0.1768","-0.6818","9.8826","200.2248",
308,"5.112","0.075","-0.938","9.7617","200.2281",
309,"5.117","-0.3093","-0.8853","9.9317","200.2315",
310,"5.152","-1.0191","-0.0952","9.9437","200.2198",
311,"5.196","-0.4158","-0.8925","9.9796","200.2115",
312,"5.198","-0.6229","-1.1379","9.8802","200.2149",
313,"5.202","-0.4565","-1.2253","9.8683","200.2182",
314,"5.241","-0.3751","-0.6292","10.0395","200.2066",
315,"5.243","0.1301","-1.1104","9.9976","200.2274",
316,"5.247","0.3432","-1.4743","9.9904","200.2308",
317,"5.251","-0.4625","-0.8961","9.7713","200.2341",
318,"5.295","-0.6253","-0.7812","10.0191","200.2083",
319,"5.297","0.1971","-1.3618","9.8288","200.2292",
320,"5.302","0.7059","-1.2552","9.7569","200.2325",
321,"5.348","-0.6768","0.0496","9.7031","200.2101",
322,"5.351","-1.2358","-0.0761","9.9545","200.2309",
323,"5.394","-0.4158","-0.5537","9.9018","200.2226",
324,"5.396","-0.3021","-0.3526","9.8527","200.2259",
325,"5.401","-0.0459","-0.6543","9.8527","200.2292",
326,"5.442","-0.1536","-0.5801","9.9018","200.221",
327,"5.447","-0.6995","-0.604","10.0778","200.2243",
328,"5.451","-0.9126","-0.4137","10.0287","200.2276",
329,"5.494","-0.3488","-0.8506","9.8024","200.2194",
330,"5.496","-0.174","-0.9967","9.8288","200.2227",
331,"5.502","-0.3404","-0.8542","9.9772","200.226",
332,"5.541","-0.2159","-1.0182","10.1436","200.2178",
333,"5.546","-0.0627","-0.847","9.8647","200.2211",
334,"5.551","-0.0555","-0.8829","9.6444","200.2244",
335,"5.595","-0.247","-0.7896","9.7174","200.2162",
336,"5.598","-0.3943","-0.9991","9.8755","200.2195",
337,"5.603","-0.3931","-1.0996","9.9473","200.2228",
338,"5.644","-0.6959","-0.5813","10.1664","200.2146",
339,"5.646","-0.6864","-0.774","9.8779","200.2179",
340,"5.651","0.2019","-0.9679","9.8467","200.2212",
341,"5.691","-0.5846","-0.4651","9.9473","200.2097",
342,"5.692","-0.9138","-0.2916","9.6408","200.213",
343,"5.696","-0.6588","-0.768","10.1053","200.2163",
344,"5.701","0.251","-0.604","9.7139","200.2196",
345,"5.74","0.3731","-0.6076","9.7833","200.2081",
346,"5.742","-0.2973","-0.3813","10.0766","200.2114",
347,"5.747","-0.8013","-0.2868","9.4601","200.2147",
348,"5.751","-0.7642","-0.8877","10.1628","200.218",
349,"5.795","0.0989","-0.2006","9.5139","200.2098",
350,"5.797","0.0487","-0.5872","10.492","200.2131",
351,"5.802","0.4688","-0.2604","9.3822","200.2164",
352,"5.85","-0.241","0.2831","9.9138","200.2115",
353,"5.852","-0.6349","-0.2533","10.158","200.2148",
354,"5.905","0.063","-1.2289","10.146","200.2132",
355,"5.907","-0.0291","-1.3151","9.8024","200.2165",
356,"5.911","-0.3428","-1.5593","10.0646","200.2198",
357,"5.916","-0.2099","-1.2887","9.9042","200.2231",
358,"5.963","-0.2327","-1.3127","9.9018","200.2182",
359,"5.966","-0.1596","-1.0326","10.079","200.2215",
360,"6.013","-0.4661","-0.6052","9.5295","200.2166",
361,"6.016","-0.2698","-0.4723","9.9437","200.2199",
362,"6.072","-0.2099","-0.9667","10.0526","200.2216",
363,"6.075","-0.6672","-1.0302","9.9066","200.2249",
364,"6.08","-0.9641","-1.12","9.8096","200.2282",
365,"6.086","-0.8013","-1.3019","9.666","200.2315",
366,"6.117","-0.4014","-0.4604","9.5558","200.2168",
367,"6.169","-0.2769","-1.0062","9.4277","200.2152",
368,"6.171","-0.6026","-1.4085","10.0622","200.2185",
369,"6.176","-0.4146","-1.6563","10.0263","200.2217",
370,"6.18","-0.253","-1.3977","9.8539","200.225",
371,"6.185","0.2282","-0.7704","10.1304","200.2283",
372,"6.226","-0.168","-1.2828","9.5858","200.2202",
373,"6.231","-0.6792","-1.0062","10.1245","200.2234",
374,"6.235","-0.5643","-0.2305","10.0047","200.2267",
375,"6.282","0.7035","-1.3881","9.5582","200.2218",
376,"6.286","-0.6528","-1.0062","9.9533","200.2251",
377,"6.337","-1.0646","-0.2425","9.7977","200.2235",
378,"6.34","-0.6947","-0.349","9.9964","200.2268",
379,"6.346","0.6197","-0.8099","9.8192","200.2301",
380,"6.35","0.2713","-1.5521","9.9796","200.2333",
381,"6.396","0.1001","-1.2852","10.2406","200.2285",
382,"6.4","-0.1668","-0.7584","9.3523","200.2317",
383,"6.449","-0.1309","-1.1571","9.8396","200.2098",
384,"6.451","-0.2817","-1.1583","10.462","200.2131",
385,"6.504","-0.0627","-0.9081","10.0036","200.2115",
386,"6.506","-0.2434","-0.6292","9.6492","200.2148",
387,"6.511","-0.3895","-0.4663","9.7198","200.218",
388,"6.515","-0.4457","-0.8255","10.3782","200.2213",
389,"6.552","-0.2063","-0.531","9.6516","200.2099",
